管轄市町村名,避難先名称,避難種別,指定区分,指定場所,災害区分,土砂災害・浸水・津波浸水予測地域,風水害,津波,耐震性,備蓄の有無,備蓄品目,標高（m）,経度：東経(世界測地系10進法),緯度：北緯(世界測地系10進法),発電機の有無,発動発電機（可搬型）,自家発電機,施設面積〈屋内〉（㎡）,施設面積〈屋外〉（㎡）,収容人数(避難所),収容人数(避難場所）,所在地,備考1
有田市,法華寺,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,21,135.144611,34.084274,,,,,,,,有田市山田原252,
有田市,法正寺,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,8,135.117473,34.076784,,,,,,,,有田市宮崎町1078,
有田市,法明寺付近高台,避難場所,指定避難場所,,洪水　津波　,土砂災害予測地域　,,☆☆☆,,,,21,135.173216,34.063924,,,,,,,,有田市糸我町　中番561,
有田市,星尾地区農道Ａ,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,19,135.154397,34.071505,,,,,,,,有田市星尾450-3,
有田市,星尾地区農道Ｂ,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,22,135.159534,34.071493,,,,,,,,有田市星尾698-2,
有田市,真砂会館上,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,38,135.167251,34.066164,,,,,,,,有田市糸我町　西790,
有田市,マツゲン有田球場,避難場所,指定避難場所,,地震　,津波浸水予測地域,,,,,,3.8,135.091451,34.075058,,,,,9039,,,有田市宮崎町2497-2,
有田市,みかん海道（宮崎）,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,57,135.092709,34.072121,,,,,,,,有田市宮崎町1591-3,
有田市,みかん海道（山地）,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,27,135.129974,34.068248,,,,,,,,有田市野916-1,
有田市,港会館,避難所,指定避難所,,,土砂災害予測地域　津波浸水予測地域,,,耐震　,,,4.1,135.112792,34.089058,,,,656,,100,,有田市港町63-2,
有田市,港小学校,避難所,,,,,,,,,,,135.109679,34.090894,,,,,,,,有田市港町261番地,
有田市,港小学校【指定】,避難所を兼ねる避難場所,指定避難場所兼指定避難所,,洪水　崖崩れ・土石流及び地滑り　地震　津波　,,☆☆☆,☆☆,耐震　,○,簡易トイレ、投光器、ＬＰガス、パーティション,3.5,135.109679,34.090894,,,,3803,,626,3317,有田市港町261,
有田市,港小学校運動場,避難場所,指定避難場所,,地震　,,,,,○,,3.5,135.109679,34.090894,,,,,8380,350,,有田市港町261,
有田市,港町公民館,避難所,指定避難所,,,土砂災害予測地域　浸水予測地域　津波浸水予測地域,,,非耐震,○,毛布,2,135.10962,34.086823,,,,519.4,,100,,有田市港町511,
有田市,箕島区民集会所,避難所,指定避難所,,,浸水予測地域　津波浸水予測地域,,,耐震　,,,1.8,135.117308,34.086621,,,,184,,50,,有田市箕島627-1,
有田市,箕島高校運動場,避難場所,指定避難場所,,洪水　地震　,浸水予測地域　津波浸水予測地域,,,,,,4,135.129979,34.083053,,,,,14218,1000,,有田市箕島55,
有田市,箕島高校宮原校舎運動場,避難場所,指定避難場所,,地震　,浸水予測地域　,,,,,,9,135.177689,34.075085,,,,,8414,300,,有田市宮原町新町416,
有田市,箕島公民館,避難所,指定避難所,,,浸水予測地域　,,,非耐震,○,毛布,1.8,135.117236,34.086761,,,,541.3,,100,,有田市箕島627-1,
有田市,箕島小学校,避難所,,,,,,,,,,,135.122732,34.084774,,,,,,,,有田市箕島155番地,
有田市,箕島小学校【指定】,避難所を兼ねる避難場所,指定避難場所兼指定避難所,,洪水　崖崩れ・土石流及び地滑り　地震　津波　,浸水予測地域　津波浸水予測地域,☆,☆☆,耐震　,○,簡易トイレ、投光器、ＬＰガス、パーティション,1.9,135.122732,34.084774,,,,5812,,906,392,有田市箕島155,
有田市,箕島小学校運動場,避難場所,指定避難場所,,地震　,浸水予測地域　津波浸水予測地域,,,,○,,1.9,135.122732,34.084774,,,,,6630,500,,有田市箕島155,
有田市,箕島中学校,避難所,,,洪水　,,,,,,,,135.125403,34.083789,,,,,,,,有田市箕島79番地,
有田市,箕島中学校【指定】,避難所を兼ねる避難場所,指定避難場所兼指定避難所,,洪水　崖崩れ・土石流及び地滑り　地震　津波　,浸水予測地域　津波浸水予測地域,,☆☆,耐震　,○,簡易トイレ、投光器、ＬＰガス、パーティション,2.1,135.125403,34.083789,,,,7464,,1375,807,有田市箕島79,
有田市,箕島中学校運動場,避難場所,指定避難場所,,地震　,浸水予測地域　津波浸水予測地域,,,,○,,2.1,135.126092,34.083706,,,,,11776,250,,有田市箕島79,
有田市,箕島変電所東側農道,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,19,135.118171,34.08841,,,,,,,,有田市箕島1288-3,
有田市,旧箕島保育所,避難所,指定避難所,,,浸水予測地域　津波浸水予測地域,,,耐震　,,,2,135.126452,34.086445,,,,768,,100,,有田市箕島123,
有田市,宮崎公民館,避難所,指定避難所,,,土砂災害予測地域　浸水予測地域　津波浸水予測地域,,,非耐震,○,毛布,1,135.105372,34.079662,,,,540,,150,,有田市宮崎町486-2,
有田市,宮原公民館,避難所,指定避難所,,洪水　,土砂災害予測地域　浸水予測地域　,,,非耐震,○,毛布,8.6,135.175267,34.0802,,,,530,,150,,有田市宮原町新町189-1,
有田市,宮原小学校運動場,避難場所,指定避難場所,,地震　,浸水予測地域　,,,,○,,9.3,135.172838,34.08053,,,,,8904,250,,有田市宮原町滝川原1,
有田市,宮原神社,避難場所,指定避難場所,,洪水　津波　,土砂災害予測地域　,,☆☆☆,,,,28,135.177581,34.08461,,,,,,,,有田市宮原町道359,
有田市,宮原保育所,避難所,指定避難所,,,浸水予測地域　,,,耐震　,,,8,135.175469,34.080258,,,,958,,150,,有田市宮原町新町190,
有田市,宮東農道,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,17,135.180975,34.08364,,,,,,,,有田市宮原町東802-1,
